"prodcode"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnfcode"	"Antidepressant"
"77865"	"Mirtazapine 15mg orodispersible tablets (Phoenix Healthcare Distribution Ltd)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"77881"	"Fluoxetine 10mg capsules (Medreich Plc)"	"Fluoxetine"	"10mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"77915"	"Trazodone 150mg tablets (Accord Healthcare Ltd)"	"Trazodone"	"150mg"	"Tablet"	"Oral"	"04030100"	"Trazodone"
"78057"	"Clomipramine 5mg/5ml oral solution"	"Clomipramine"	"1mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Clomipramine"
"78221"	"Amitriptyline 50mg tablets (DE Pharmaceuticals)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"78224"	"Nortriptyline 25mg tablets (Waymade Healthcare Plc)"	"Nortriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Nortriptyline"
"78278"	"Sertraline 12.5mg tablets"	"Sertraline"	"12.5mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"78324"	"Clomipramine 50mg capsules (Mylan)"	"Clomipramine"	"50mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"78364"	"Amitriptyline 25mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Amitriptyline"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"78585"	"ViePax XL 225mg tablets (Dexcel-Pharma Ltd)"	"Venlafaxine"	"225mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"78626"	"Sertraline 15mg/5ml oral suspension"	"Sertraline"	"3mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
"78654"	"Mirtazapine 30mg tablets (Aurobindo Pharma Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"78777"	"Duloxetine 60mg gastro-resistant capsules (Waymade Healthcare Plc)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"78843"	"Paroxetine 30mg/5ml oral solution"	"Paroxetine"	"6mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Paroxetine"
"78889"	"Fluoxetine 40mg capsules (Medreich Plc)"	"Fluoxetine"	"40mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"79008"	"Mirtazapine 30mg orodispersible tablets (Teva UK Ltd)"	"Mirtazapine"	NA	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"79163"	"Sertraline 50mg tablets (Kent Pharmaceuticals Ltd)"	"Sertraline"	NA	"Tablet"	"Oral"	"04030300"	"Sertraline"
"79252"	"Mirtazapine 45mg orodispersible tablets (Alliance Healthcare (Distribution) Ltd)"	"Mirtazapine"	NA	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"79275"	"Duloxetine 30mg gastro-resistant capsules (Aspire Pharma Ltd)"	"Duloxetine"	NA	"Capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"79276"	"Clomipramine 25mg capsules (Mylan)"	"Clomipramine"	NA	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"79381"	"Paroxetine 30mg Tablet (Sovereign Medical Ltd)"	"Paroxetine"	"30mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"79383"	"Paroxetine 30mg Tablet (Neo Laboratories Ltd)"	"Paroxetine"	"30mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"79397"	"Lofepramine Oral solution"	"Lofepramine"	NA	"Oral Solution"	"Oral"	"04030100"	"Lofepramine"
"79401"	"Amitriptyline 100mg/5ml oral solution"	"Amitriptyline"	NA	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"79494"	"Fluoxetine 60mg capsules (A A H Pharmaceuticals Ltd)"	"Fluoxetine"	NA	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"79506"	"Fluoxetine 20mg capsules (Bristol Laboratories Ltd)"	"Fluoxetine"	NA	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"79590"	"Fluoxetine 30mg capsules (Medreich Plc)"	"Fluoxetine"	"30mg"	"Capsule"	"Oral"	"04030300"	"Fluoxetine"
"79628"	"Duloxetine 30mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"79766"	"Amitriptyline 25mg tablets (Genesis Pharmaceuticals Ltd)"	"Amitriptyline"	"25mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"79768"	"Duloxetine 40mg gastro-resistant capsules (Actavis UK Ltd)"	"Duloxetine"	"40mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"79784"	"Cipramil 10mg tablets (Waymade Healthcare Plc)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"79794"	"HealthAid 5-HTP HydroxyTryptoPhan 50mg tablets (HealthAid Ltd)"	"Oxitriptan"	"50mg"	"Modified-release tablet"	"Oral"	"09040251"	"Oxitriptan"
"79826"	"Amitriptyline 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Amitriptyline"	"2mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"80135"	"Amitriptyline 10mg tablets (NorthStar Healthcare Unlimited Company)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"80331"	"Venlafaxine 300mg modified-release tablets"	"Venlafaxine"	"300mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"80352"	"Nortriptyline 10mg tablets (Accord Healthcare Ltd)"	"Nortriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Nortriptyline"
"80370"	"Citalopram 10mg tablets (Tillomed Laboratories Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"80399"	"Trazodone 50mg/5ml oral suspension"	"Trazodone"	"10mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Trazodone"
"80453"	"Escitalopram 20mg tablets (A A H Pharmaceuticals Ltd)"	"Escitalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"80541"	"Venlalic XL 300mg tablets (Ethypharm UK Ltd)"	"Venlafaxine"	"300mg"	"Modified-release tablet"	"Oral"	"04030400"	"Venlafaxine"
"80546"	"Nortriptyline 10mg/5ml oral solution sugar free"	"Nortriptyline"	"2mg/1ml"	"Oral solution"	"Oral"	"04030100/07040251"	"Nortriptyline"
"80702"	"Prozac 20mg/5ml liquid (Lexon (UK) Ltd)"	"Fluoxetine"	"4mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Fluoxetine"
"80721"	"Majoven XL 37.5mg capsules (Bristol Laboratories Ltd)"	"Venlafaxine"	"37.5mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"80820"	"Cipralex 20mg tablets (DE Pharmaceuticals)"	"Escitalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"80821"	"Cipralex 20mg tablets (Mawdsley-Brooks & Company Ltd)"	"Escitalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"80840"	"Duloxetine 30mg gastro-resistant capsules (Consilient Health Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"80885"	"Imipramine 25mg tablets (Kent Pharmaceuticals Ltd)"	"Imipramine"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"80893"	"Zispin SolTab 30mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"80953"	"Mirtazapine 30mg Tablet (Kent Pharmaceuticals Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"80981"	"Nutriflex Omega Plus infusion 1.25litre bags (B.Braun Medical Ltd)"	"Tryptophan"	"132gram/1litre + 2.73gram/1litre + 1.44gram/1litre + 3.37gram/1litre + 1.58gram/1litre + 3.26gram/1litre + 2.88gram/1litre + 781mg/1litre + 402mg/1litre + 686mg/1litre + 470mg/1litre + 1.872gram/1litre + 5.264mg/1litre + 20gram/1litre + 16gram/1litre + 4gram/1litre + 2.26gram/1litre + 3.01gram/1litre + 3.37gram/1litre + 1.74gram/1litre + 540mg/1litre + 2.5gram/1litre + 2.59gram/1litre + 1.62gram/1litre + 222mg/1litre + 2.747gram/1litre + 4.66gram/1litre + 1.88gram/1litre"	"Infusion"	"Intravenous"	"09030000"	"Tryptophan"
"81067"	"Citalopram 20mg tablets (Noumed Life Sciences Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"81094"	"Amino acids with electrolytes and glucose solution for injection"	"Tryptophan"	NA	"Solution for injection"	"Intramuscular"	"09030000"	"Tryptophan"
"81095"	"Vamin 9 glucose Solution for injection (Fresenius Kabi Ltd)"	"Tryptophan"	NA	"Solution For Injection"	"Intramuscular"	"09030000"	"Tryptophan"
"81126"	"Dosulepin 75mg tablets (Co-Pharma Ltd)"	"Dosulepin"	"75mg"	"Tablet"	"Oral"	"04030100"	"Dosulepin"
"81158"	"Foraven XL 150mg capsules (Forum Products Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"81210"	"Trazodone 50mg tablets"	"Trazodone"	NA	"Tablet"	"Oral"	"04030100"	"Trazodone"
"81245"	"Trazodone 100mg tablets"	"Trazodone"	NA	"Tablet"	"Oral"	"04030100"	"Trazodone"
"81253"	"Efexor XL 150mg capsules (Lexon (UK) Ltd)"	"Venlafaxine"	"150mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"81337"	"Doxepin 50mg/5ml oral suspension"	"Doxepin"	"10mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Doxepin"
"81423"	"Duloxetine 30mg gastro-resistant capsules (Zentiva)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"81617"	"Clomipramine 25mg capsules (Actavis UK Ltd)"	"Clomipramine"	"25mg"	"Capsule"	"Oral"	"04030100"	"Clomipramine"
"81638"	"Imipramine 25mg Tablet (Celltech Pharma Europe Ltd)"	"Imipramine"	"25mg"	"Tablet"	"Oral"	"04030100/07040200"	"Imipramine"
"81854"	"Paroxetine 10mg tablets (Teva UK Ltd)"	"Paroxetine"	"10mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"81906"	"Fluoxetine 10mg tablets (Endo Ventures Ltd)"	"Fluoxetine"	"10mg"	"Tablet"	"Oral"	"04030300"	"Fluoxetine"
"81914"	"Mirtazapine 15mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Mirtazapine"	"15mg/1ml"	"Oral solution"	"Oral"	"04030400"	"Mirtazapine"
"81987"	"Escitalopram 10mg tablets (Accord Healthcare Ltd)"	"Escitalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"81991"	"Sertraline 50mg tablets (Relonchem Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"82035"	"Duloxetine 30mg gastro-resistant capsules (Wockhardt UK Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"82070"	"Mirtazapine 30mg tablets (Ennogen Healthcare Ltd)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"82195"	"Sertraline 25mg/5ml oral solution"	"Sertraline"	"5mg/1ml"	"Oral solution"	"Oral"	"04030300"	"Sertraline"
"82206"	"Mirtazapine 15mg tablets (Noumed Life Sciences Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"82245"	"Mirtazapine 75mg/5ml oral suspension"	"Mirtazapine"	"15mg/1ml"	"Oral suspension"	"Oral"	"04030400"	"Mirtazapine"
"82326"	"Mirtazapine 30mg tablets (Medreich Plc)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"82340"	"Duloxetine 20mg gastro-resistant capsules (Waymade Healthcare Plc)"	"Duloxetine"	"20mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"82346"	"Escitalopram 10mg tablets (Sigma Pharmaceuticals Plc)"	"Escitalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"82384"	"Lustral 100mg tablets (Lexon (UK) Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"82403"	"Amitriptyline 50mg tablets (Arrow Generics Ltd)"	"Amitriptyline"	"50mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"82430"	"Duloxetine 40mg gastro-resistant capsules (Waymade Healthcare Plc)"	"Duloxetine"	"40mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"82469"	"Mirtazapine 15mg tablets (Genesis Pharmaceuticals Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"82495"	"Lustral 100mg tablets (Dowelhurst Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"82497"	"Lustral 50mg tablets (Dowelhurst Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"82506"	"Seroxat 20mg tablets (Waymade Healthcare Plc)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"82510"	"Zispin SolTab 30mg orodispersible tablets (Waymade Healthcare Plc)"	"Mirtazapine"	"30mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"82520"	"Zispin SolTab 15mg orodispersible tablets (Waymade Healthcare Plc)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"82572"	"Cymbalta 30mg gastro-resistant capsules (Waymade Healthcare Plc)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"82578"	"Seroxat 30mg tablets (Waymade Healthcare Plc)"	"Paroxetine"	"30mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"82670"	"Citalopram 20mg tablets (Sovereign Medical Ltd)"	"Citalopram"	"20mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"82682"	"Mirtazapine 15mg tablets (Relonchem Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"82839"	"Phenelzine 15mg capsules"	"Phenelzine"	"15mg"	"Capsule"	"Oral"	"04030200"	"Phenelzine"
"82860"	"Cymbalta 60mg gastro-resistant capsules (Necessity Supplies Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"82884"	"Sertraline 25mg tablets"	"Sertraline"	"25mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"82903"	"Duciltia 30mg gastro-resistant capsules (Aristo Pharma Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"82911"	"Imipramine 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Imipramine"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"83013"	"Trazodone 25mg/5ml oral solution"	"Trazodone"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"83069"	"Venlafaxine 37.5mg tablets (Dexcel-Pharma Ltd)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"83078"	"Citalopram 40mg tablets (Medreich Plc)"	"Citalopram"	"40mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"83079"	"Amitriptyline 10mg tablets (Medihealth (Northern) Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"83101"	"Sertraline 25mg tablets (Zentiva)"	"Sertraline"	"25mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"83355"	"Majoven XL 75mg capsules (Bristol Laboratories Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"83377"	"Amitriptyline 25mg/5ml oral solution sugar free (Accord Healthcare Ltd)"	"Amitriptyline"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"83378"	"Cipralex 10mg tablets (Necessity Supplies Ltd)"	"Escitalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"83463"	"Paroxetine 30mg tablets (Almus Pharmaceuticals Ltd)"	"Paroxetine"	"30mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"83468"	"Clomipramine 10mg capsules (Almus Pharmaceuticals Ltd)"	"Clomipramine"	"10mg"	"Capsule"	"Oral"	"00000000"	"Clomipramine"
"83470"	"Clomipramine 25mg capsules (Almus Pharmaceuticals Ltd)"	"Clomipramine"	"25mg"	"Capsule"	"Oral"	"00000000"	"Clomipramine"
"83472"	"Imipramine 25mg tablets (Almus Pharmaceuticals Ltd)"	"Imipramine"	"25mg"	"Tablet"	"Oral"	"04030100/07040251"	"Imipramine"
"83498"	"Allegron 25mg tablets (Lexon (UK) Ltd)"	"Nortriptyline"	"25mg"	"Tablet"	"Oral"	"04030100"	"Nortriptyline"
"83516"	"Amitriptyline 25mg/5ml oral suspension"	"Amitriptyline"	"5mg/1ml"	"Oral suspension"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"83536"	"Nortriptyline 25mg/5ml oral solution sugar free"	"Nortriptyline"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100/07040251"	"Nortriptyline"
"83668"	"Sertraline 25mg/5ml oral suspension (Drug Tariff Special Order)"	"Sertraline"	"5mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
"83880"	"Duloxetine 30mg gastro-resistant capsules (HBS Healthcare Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"83942"	"Lofepramine 70mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Lofepramine"	"70mg"	"Tablet"	"Oral"	"04030100"	"Lofepramine"
"83981"	"Paroxetine 20mg tablets (Sandoz Ltd)"	"Paroxetine"	"20mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"84007"	"Duloxetine 30mg gastro-resistant capsules (Tillomed Laboratories Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"84186"	"Efexor 37.5mg tablets (DE Pharmaceuticals)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"84231"	"Duloxetine 40mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)"	"Duloxetine"	"40mg"	"Gastro-resistant capsule"	"Oral"	"07040250"	"Duloxetine"
"84264"	"Citalopram 10mg tablets (Medreich Plc)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"84344"	"Amitriptyline 10mg tablets (Bristol Laboratories Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"84387"	"Mirtazapine 15mg orodispersible tablets (Medreich Plc)"	"Mirtazapine"	"15mg"	"Orodispersible tablet"	"Oral"	"04030400"	"Mirtazapine"
"84470"	"Sertraline 100mg tablets (Consilient Health Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"84526"	"Dosulepin 75mg/5ml oral suspension"	"Dosulepin"	"15mg/1ml"	"Oral suspension"	"Oral"	"04030100"	"Dosulepin"
"84537"	"Sertraline 50mg tablets (Waymade Healthcare Plc)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"84538"	"Sertraline 100mg tablets (Dowelhurst Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"84572"	"Paroxetine 10mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Paroxetine"	"10mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"84573"	"Venlafaxine 37.5mg tablets (Waymade Healthcare Plc)"	"Venlafaxine"	"37.5mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"84646"	"Paroxetine 10mg tablets (DE Pharmaceuticals)"	"Paroxetine"	"10mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"84656"	"Sertraline oral solution"	"Sertraline"	NA	"Oral solution"	"Oral"	"04030300"	"Sertraline"
"84696"	"Mirtazapine 30mg tablets (Mylan)"	"Mirtazapine"	"30mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"84748"	"Amitriptyline 25mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Amitriptyline"	"5mg/1ml"	"Oral solution"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
"84842"	"Moclobemide 150mg tablets (Sandoz Ltd)"	"Moclobemide"	"150mg"	"Tablet"	"Oral"	"04030201"	"Moclobemide"
"84977"	"Duloxetine 90mg gastro-resistant capsules"	"Duloxetine"	"90mg"	"Gastro-resistant capsule"	"Oral"	"04030400"	"Duloxetine"
"84981"	"Duloxetine 120mg gastro-resistant capsules"	"Duloxetine"	"120mg"	"Gastro-resistant capsule"	"Oral"	"04030400"	"Duloxetine"
"85005"	"Sertraline 50mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"85007"	"Sertraline 100mg tablets (Medreich Plc)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"85073"	"Duloxetine 60mg gastro-resistant capsules (Accord Healthcare Ltd)"	"Duloxetine"	"60mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"85140"	"Sertraline 100mg tablets (DE Pharmaceuticals)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"85194"	"Sertraline 50mg tablets (Focus Pharmaceuticals Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"85195"	"Venlafaxine 75mg tablets (Zentiva Pharma UK Ltd)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"85308"	"Citalopram 10mg tablets (Sovereign Medical Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"85369"	"Sertraline 5mg/5ml oral suspension"	"Sertraline"	"1mg/1ml"	"Oral suspension"	"Oral"	"04030300"	"Sertraline"
"85420"	"Sertraline 50mg tablets (Flamingo Pharma (UK) Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"85516"	"Citalopram 10mg tablets (Medihealth (Northern) Ltd)"	"Citalopram"	"10mg"	"Tablet"	"Oral"	"04030300"	"Citalopram"
"85525"	"Escitalopram 5mg tablets (A A H Pharmaceuticals Ltd)"	"Escitalopram"	"5mg"	"Tablet"	"Oral"	"04030300"	"Escitalopram"
"85550"	"Paroxetine 40mg tablets (Crescent Pharma Ltd)"	"Paroxetine"	"40mg"	"Tablet"	"Oral"	"04030300"	"Paroxetine"
"85602"	"Venlafaxine 37.5mg/5ml oral solution sugar free"	"Venlafaxine"	"7.5mg/1ml"	"Oral solution"	"Oral"	"04030400"	"Venlafaxine"
"85606"	"Venlafaxine 75mg/5ml oral solution sugar free"	"Venlafaxine"	"15mg/1ml"	"Oral solution"	"Oral"	"04030400"	"Venlafaxine"
"85745"	"Cymbalta 30mg gastro-resistant capsules (Necessity Supplies Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"85763"	"Sertraline 50mg tablets (Genesis Pharmaceuticals Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"85830"	"Duloxetine 30mg gastro-resistant capsules (Milpharm Ltd)"	"Duloxetine"	"30mg"	"Gastro-resistant capsule"	"Oral"	"04030400/06010500"	"Duloxetine"
"85885"	"Nortriptyline 10mg tablets (Advanz Pharma)"	"Nortriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/07040251"	"Nortriptyline"
"85939"	"Trazodone 50mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Trazodone"	NA	"Oral solution"	"Oral"	"04030100"	"Trazodone"
"85975"	"Venlafaxine 150mg modified-release tablets (Dexcel-Pharma Ltd)"	"Venlafaxine"	NA	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"86037"	"Sertraline 25mg tablets (A A H Pharmaceuticals Ltd)"	"Sertraline"	NA	"Tablet"	"Oral"	"04030300"	"Sertraline"
"86095"	"Mirtazapine 15mg tablets (Phoenix Healthcare Distribution Ltd)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"86199"	"Sertraline 50mg tablets (Almus Pharmaceuticals Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"00000000"	"Sertraline"
"86256"	"Efexor 75mg tablets (Lexon (UK) Ltd)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"86314"	"Mirtazapine 15mg tablets (NorthStar Healthcare Unlimited Company)"	"Mirtazapine"	"15mg"	"Tablet"	"Oral"	"04030400"	"Mirtazapine"
"86398"	"Kabiven infusion 1.54litre bags (Fresenius Kabi Ltd)"	"Tryptophan"	"60gram + 150gram + 7.2gram + 5.1gram + 1.5gram + 2.5gram + 3.6gram + 3.1gram + 2.5gram + 3.6gram + 3.6gram + 3.1gram + 2gram + 2.5gram + .86gram + .1gram + 3.3gram + .33gram + 2.3gram + 1.5gram + 2.7gram + 3.7gram + 5.1gram + 2.5gram"	"Infusion"	"Intravenous"	"09030000"	"Tryptophan"
"86410"	"Venlafaxine 75mg tablets (Almus Pharmaceuticals Ltd)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"86424"	"Venlafaxine 75mg modified-release capsules (Morningside Healthcare Ltd)"	"Venlafaxine"	"75mg"	"Modified-release capsule"	"Oral"	"04030400"	"Venlafaxine"
"86466"	"Sertraline 100mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Sertraline"	"100mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"86493"	"Lustral 50mg tablets (Lexon (UK) Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"86526"	"Venlafaxine 75mg tablets (Bristol Laboratories Ltd)"	"Venlafaxine"	"75mg"	"Tablet"	"Oral"	"04030400"	"Venlafaxine"
"86570"	"Sertraline 50mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Sertraline"	"50mg"	"Tablet"	"Oral"	"04030300"	"Sertraline"
"86618"	"Amitriptyline 10mg tablets (Flamingo Pharma (UK) Ltd)"	"Amitriptyline"	"10mg"	"Tablet"	"Oral"	"04030100/04070300/04070402"	"Amitriptyline"
